ESNTL_ID,FCLTY_NM,LCLAS_NM,MLSFC_NM,ZIP_NO,FCLTY_ROAD_NM_ADDR,FCLTY_LA,FCLTY_LO,WORKDAY_OPN_BSNS_TIME,WORKDAY_CLOS_TIME,SAT_OPN_BSNS_TIME,SAT_CLOS_TIME,SUN_OPN_BSNS_TIME,SUN_CLOS_TIME,RSTDE_OPN_BSNS_TIME,RSTDE_CLOS_TIME,RSTDE_GUID_CN,TEL_NO,OPTN_DC,ADIT_DC
KCIBSPO22N000000248,북스토어 아베끄,독립서점,일반,63010,제주특별자치도 제주시 한림읍 금능9길 1-1 밖거리,33.38867297,126.2296296,10:00,19:00,10:00,19:00,10:00,19:00,,,"수요일 휴무, 인스타그램에 임시휴일 별도 공지",050714241609,"사랑과 연애, 힐링을 테마로 하고 있는 작은 책방","주차 가능, 독립출판물 있음, 리뷰 있음"
KCIBSPO22N000000249,책방 소리소문,독립서점,일반,63005,제주 제주시 한경면 저지동길 8-31,33.3321,126.26057,11:00,18:00,11:00,18:00,11:00,18:00,,,"화, 수 정기 휴무",050713207461,블라인드북과 필사를 할 수 있는 공간 마련,"주차 가능, 리뷰 있음"
KCIBSPO22N000000250,가가책방,독립서점,일반,32549,충청남도 공주시 당간지주길 10,36.45186318,127.1218525,10:00,21:00,10:00,21:00,10:00,21:00,,,,01094034982,24시간 무인 이용 가능. 책방지기가 직접 DIY로 만든 책공간,"주차 가능, 화장실 남녀 구분, 독립출판물 있음, 리뷰 있음"
KCIBSPO22N000000251,호미책방,독립서점,인문서적,32967,충청남도 논산시 중앙로492번길 9-43,36.20702423,127.0834453,11:30,19:00,,,,,,,,01029333467,논산에서 유일하게 독립출판물을 선보이고 있습니다.,"주차 가능, 독립출판물 있음, 리뷰 있음"
KCIBSPO22N000000252,한선예의꿈꾸는이야기,독립서점,일반,31741,충청남도 당진시 신평면 신평로 812-100,36.88508126,126.7737097,19:00,22:00,13:00,22:00,13:00,22:00,,,,0413622830,예약제로 시간별 예약제 운영. 그림책 등,"독립출판물 있음, 리뷰 있음"
KCIBSPO22N000000253,책방 세간,독립서점,북카페,33124,충청남도 부여군 규암면 자온로 82 책방 세:간,36.2737513,126.8888083,12:00,19:00,12:00,19:00,12:00,19:00,12:00,19:00,,0418348205,"독립서점, 북카페",리뷰 있음
KCIBSPO22N000000254,책방허송세월,독립서점,일반,31144,충청남도 천안시 동남구 대흥로 207 1층,36.80672191,127.1469018,11:00,20:00,11:00,21:00,11:00,20:00,,,월요일,01084109160,"일반서적, 중고서적, 독립서적 등 책방지기의 취향에 맞는 책 골라 판매",리뷰 있음
KCIBSPO22N000000255,취향,독립서점,일반,31123,충청남도 천안시 동남구 먹거리8길 11 1층,36.81730979,127.1542553,12:00,21:00,12:00,21:00,12:00,21:00,,,월요일,01058511225,독립출판물 주로 취급,"독립출판물 있음, 리뷰 있음"
KCIBSPO22N000000256,인생책방,독립서점,일반,31134,충청남도 천안시 서북구 서부3길 67,36.82453158,127.1405651,15:30,19:00,,,11:00,19:00,,,토요일,01077488900,도서와 음료를 판매하고 다양한 독서모임이 진행되는 책방,"독립출판물 있음, 헌책방 있음"
KCIBSPO22N000000257,심심한책방,독립서점,그림책,27222,충청북도 제천시 덕산면 신현3길 27,36.9318124,128.1428765,11:00,19:00,11:00,19:00,11:00,19:00,,,,01053912024,"월악산 아래 심심산골에 위치한 그림책, 만화책 큐레이팅책방","독립출판물 있음, 리뷰 있음"
KCIBSPO22N000000258,달꽃 책방 카페,독립서점,북카페,28545,충청북도 청주시 상당구 상당로115번길 61 2층,36.63832162,127.4865863,10:00,22:00,10:00,22:00,10:00,22:00,,,,0432222213,독립서점 겸 카페,"공간대여 가능, 독립출판물 있음, 북토크 가능, 독서모임 가능"
KCIBSPO22N000000259,앨리스의별별책방,독립서점,인문서적,28417,충청북도 청주시 흥덕구 짐대로42번길 26,36.63252997,127.4262576,14:00,22:00,13:00,19:00,13:00,19:00,,,화요일,07088487578,임상심리사인 앨리스가 운영하는 심리전문서점,"독립출판물 있음, 리뷰 있음"
KCIBSPO22N000000260,노벰버레인,독립서점,북카페,61188,광주 북구 면앙로6번길 61 노벰버레인,35.17764,126.91355,12:00,21:00,13:00,20:00,,,,,일요일 휴무,050713781128,"서점, 소품샵, 카페, 체험공방을 한 곳에서 만날 수 있는 복합문화공간","주차 가능, 화장실 남녀 구분, 카페 있음, 리뷰 있음"
KCIBSPO22N000000261,치읓의자리,독립서점,북카페,61197,광주 북구 서방로159번길 47 1층,35.17138,126.93056,11:00,20:00,11:00,20:00,11:00,20:00,,,화요일 휴무,050713469038,책과 음료를 즐길 수 있는 독립서점,"주차 가능, 리뷰 있음"
KCIBSPO22N000000262,서점,독립서점,일반,61979,광주 서구 화운로156번길 12-1 1층,35.15285,126.878,19:00,22:00,,,,,,,"월,화,수,목,토,일 휴무",050713869502,"묘한 서점書占 고양이, 책, 타로상담.","독립출판물 있음, 리뷰 있음"
