FCLTY_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,AREA_NM,NEARBY_PBTRNSP_NM,PARKNG_POSBL_AT,BASE_DE
저스트디저트,서울특별시 서대문구대현동90-7,11,,126.936784,37.579216,서울,"디저트, 카페, 아이스크림",,20211231
릴리코이,서울특별시 용산구이태원동656,11,,126.990193,37.532615,서울,"디저트, 카페, 자몽",,20211231
마얘,서울특별시 용산구이태원동211-19,11,,126.990193,37.532615,서울,"디저트, 카페, 프랑스",,20211231
에르모사,서울특별시 마포구동교동147-312층,11,,126.901774,37.566407,서울,"디저트, 컵케이크, 마카롱",,20211231
더 델리카테슨,서울특별시 특별시 서초구 반포동 19-3,11,,126.977874,37.566415,서울,"디저트, 쿠키, 컵케이크",,20211231
뚝떡,서울특별시 성동구성수동1가668-41,11,,127.037058,37.563389,서울,"떡볶이, 분식, 국물떡볶이",,20211231
냠냠1968,서울특별시 서대문구연희동129-3,11,,126.936784,37.579216,서울,"떡볶이, 분식, 김밥",,20211231
두끼,서울특별시 성북구안암동5가104-342층,11,,127.016828,37.589443,서울,"떡볶이, 즉석떡볶이, 뷔페",,20211231
노리랩,서울특별시 용산구이태원2동397-2,11,,126.990193,37.532615,서울,"떡볶이, 카페, 모찌",,20211231
슈퍼집,서울특별시 강남구논현동246-1,11,,127.047378,37.51734,서울,"떡볶이, 튀김, 마늘떡볶이",,20211231
한성문고,서울특별시 강남구삼성동159-8,11,,127.047378,37.51734,서울,"라멘, 라면",,20211231
이치라쿠,서울특별시 강남구신사동510-3,11,,127.047378,37.51734,서울,"라멘, 이자카야, 돈코츠라멘",,20211231
라면점빵,서울특별시 종로구필운동202,11,,126.979231,37.573175,서울,"라면, 참치, 치즈",,20211231
디브릿지,서울특별시 강남구청담동89-64층,11,,127.047378,37.51734,서울,"라운지바, 칵테일, 샴페인",,20211231
바이킹스워프,서울특별시  송파구 신천동 29 제2롯데월드 쇼핑몰 1층,11,,127.102669,37.512889,서울,"랍스타, 뷔페",,20211231
마누테라스,서울특별시 강남구청담동90-204층,11,,127.047378,37.51734,서울,"레스토랑, 디저트, 가리비",,20211231
아르모니움,서울특별시 용산구한남동657-37,11,,126.990193,37.532615,서울,"레스토랑, 디저트, 와인",,20211231
넘버포,서울특별시 마포구동교동152-15,11,,126.901774,37.566407,서울,"레스토랑, 디저트, 파스타",,20211231
후거벤,서울특별시 마포구서교동367-21층,11,,126.901774,37.566407,서울,"레스토랑, 문어, 샐러드",,20211231
치즈어랏,서울특별시 용산구이태원동225-67,11,,126.990193,37.532615,서울,"레스토랑, 치즈, 라클렛",,20211231
라뮤즈 드 연희,서울특별시 서대문구연희동189-6,11,,126.936784,37.579216,서울,"레스토랑, 파스타, 브런치",,20211231
미 피아체,서울특별시 강남구청담동97-22,11,,127.047378,37.51734,서울,"레스토랑, 파스타, 이탈리안레스토랑",,20211231
오레노,서울특별시 용산구이태원동112-2,11,,126.990193,37.532615,서울,"레스토랑, 푸아그라, 랍스터",,20211231
하베스트 남산,서울특별시 용산구이태원동258-202,11,,126.990193,37.532615,서울,"레스토랑, 피자, 풍기피자",,20211231
술화덕빵,서울특별시 종로구누하동219-3,11,,126.979231,37.573175,서울,막걸리,,20211231
안씨막걸리,서울특별시 용산구이태원동257-4,11,,126.990193,37.532615,서울,"막걸리, 술집, 전통주",,20211231
한치앞도모를바다,제주특별자치도 제주시 한림읍 협재리 1796-2,50,,126.242406,33.394572,제주,막걸리,,20211231
가리산 막국수,강원도 홍천군 두촌면 역내리 237-1,42,,128.013994,37.838037,강원,막국수,,20211231
남경막국수,서울특별시  송파구 잠실동 207-13,11,,127.085132,37.509475,서울,"막국수, 물막국수, 비빔막국수",,20211231
봉봉막창,대구광역시 중구 삼덕동1가 53-1,,,128.59932,35.865981,,막창,,20211231
빠오즈푸,서울특별시 광진구군자동361-32,11,,127.082202,37.538213,서울,"만두, 중국만두, 중국식만두",,20211231
샤오롱티,서울특별시 종로구누하동1-25,11,,126.979231,37.573175,서울,"만두, 중국식만두, 군만두",,20211231
마원,제주특별자치도 서귀포시 색달동 3092,50,,126.406227,33.248133,제주,말고기,,20211231
퍼스널 다이닝,서울특별시  강남구 신사동 657-5,11,,127.037085,37.526104,서울,맞춤음식,,20211231
볼리포인트,서울특별시 용산구한남동684-65,11,,126.990193,37.532615,서울,"맥주, 치즈, 버터갈릭",,20211231
영광숯불민물장어,인천광역시 남동구 장수동 43,28,,126.773704,37.459393,인천,민물장어,,20211231
민물장어연구소,서울특별시 성동구상왕십리동12-37텐즈힐몰1층132호,11,,127.037058,37.563389,서울,"민물장어, 장어, 장어구이",,20211231
TMI,서울특별시 용산구이태원동34-38,11,,126.990193,37.532615,서울,"버거, 수제버거, 버섯",,20211231
빌레왓,제주특별자치도 서귀포시 안덕면 화순리 1244-1,50,,126.335069,33.252502,제주,버거 #파스타,,20211231
하즈벤,서울특별시 용산구한남동657-96,11,,126.990193,37.532615,서울,"벤또, 사시미, 도시락",,20211231
916솜씨,서울특별시 성동구옥수동428-10,11,,127.037058,37.563389,서울,"볶음밥, 카페, 파스타",,20211231
꾸러기분식,서울특별시  강동구 천호동 24-2,11,,127.14348,37.550595,서울,분식,,20211231
더머거 (the Muger),서울특별시 성동구성수동2가317-5,11,,127.037058,37.563389,서울,"뷔페, 브런치뷔페, 브런치",,20211231
보버라운지,서울특별시 중구회현동2가88-1스테이트타워1층,11,,126.99747,37.563763,서울,"브런치, 디저트, 마카롱",,20211231
세컨드키친,서울특별시 용산구한남동263-2,11,,126.990193,37.532615,서울,"브런치, 레스토랑, 파스타",,20211231
더 파크뷰,제주특별자치도 서귀포시 색달동 3039-3,50,,126.40795,33.247173,제주,브런치,,20211231
더블루버드,서울특별시 동대문구회기동346-16,11,,127.039723,37.574431,서울,"브런치, 카페",,20211231
리차드 카피캣,서울특별시 용산구한남동736-94층,11,,126.990193,37.532615,서울,"브런치, 칵테일, 라운지바",,20211231
쉐프팬더,대구광역시 달성군 가창면 냉천리 27-27,,,128.635855,35.787531,,비프라이스,,20211231
밀크,서울특별시 종로구팔판동16-2,11,,126.979231,37.573175,서울,"빵집, 식빵, 치즈",,20211231
크럼앤크러스트,서울특별시 강남구삼성동103-22,11,,127.047378,37.51734,서울,"빵집, 치아바타",,20211231
벵디,제주특별자치도 제주시 구좌읍 평대리 2031-2,50,,126.837119,33.537661,제주,뿔소라톳덮밥,,20211231
두메향기,경기도 양평군 양서면 목왕리 87,41,,127.385655,37.552517,경기,산나물,,20211231
삼거리푸줏간,서울특별시 마포구서교동361-10,11,,126.901774,37.566407,서울,"삼겹살, 고기집, 목살",,20211231
