ESNTL_ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,FCLTY_ROAD_NM_ADDR,TEL_NO,FCLTY_LA,FCLTY_LO,ADIT_DC
KCOWRPO22N000012559,무장애장소,무장애장소,떼아뜨로중구,대구광역시,중구,대구광역시 중구 종로 30(종로2가),,35.8684954,128.5919491,
KCOWRPO22N000012560,무장애장소,무장애장소,청양문화예술회관,충청남도,청양군,충청남도 청양군 청양읍 문화예술로 187,,36.4563083,126.800484,
KCOWRPO22N000012561,무장애장소,무장애장소,비움,경기도,안산시 상록구,경기도 안산시 상록구 동막길 124(장상동),,37.3512775,126.8843272,
KCOWRPO22N000012562,무장애장소,무장애장소,현대토아트홀,서울특별시,강남구,서울특별시 강남구 테헤란로 517(삼성동),,37.508662,127.0597572,
KCOWRPO22N000012563,무장애장소,무장애장소,코엑스아트홀,서울특별시,강남구,서울특별시 강남구 봉은사로 524(삼성동),,37.5113812,127.0606428,
KCOWRPO22N000012564,무장애장소,무장애장소,메가박스,경기도,고양시 일산동구,경기도 고양시 일산동구 중앙로 1036(백석동),,37.6438087,126.7898286,
KCOWRPO22N000012565,무장애장소,무장애장소,메가박스,부산광역시,북구,부산광역시 북구 만덕대로 23(덕천동),,35.2109753,129.0076314,
KCOWRPO22N000012566,무장애장소,무장애장소,소극장창덕궁,서울특별시,종로구,서울특별시 종로구 돈화문로 94(와룡동),,37.5768732,126.9904551,
KCOWRPO22N000012567,무장애장소,무장애장소,극장드라폼,서울특별시,양천구,서울특별시 양천구 오목로 169(신정동),,37.5251977,126.8562777,
KCOWRPO22N000012568,무장애장소,무장애장소,초록사과키즈영화관,경상북도,포항시 북구,경상북도 포항시 북구 장량로173번길 7(양덕동),,36.0825458,129.3992711,
KCOWRPO22N000012569,무장애장소,무장애장소,어울림소극장,강원도,원주시,강원도 원주시 중앙로 27(인동),,37.3462856,127.9537702,
