ESNTL_ID,FCLTY_NM,LCLAS_NM,MLSFC_NM,ZIP_NO,FCLTY_ROAD_NM_ADDR,FCLTY_LA,FCLTY_LO,WORKDAY_OPN_BSNS_TIME,WORKDAY_CLOS_TIME,SAT_OPN_BSNS_TIME,SAT_CLOS_TIME,SUN_OPN_BSNS_TIME,SUN_CLOS_TIME,RSTDE_OPN_BSNS_TIME,RSTDE_CLOS_TIME,RSTDE_GUID_CN,TEL_NO,OPTN_DC,ADIT_DC
KCCBSPO22N000000073,북카페눈,북카페,북카페,10881,경기 파주시 회동길 125-11,37.70753928,126.6871725,10:00,18:00,12:00,18:00,12:00,18:00,,,"설, 추석 당일 휴무",0319557620,"커피는 물론, 매장에서 직접 만든 디저트와 차를 맛볼 수 있음","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO22N000000074,북카페 파랑,북카페,북카페,10881,경기 파주시 회동길 337-16,37.71658165,126.6917086,9:00,19:00,10:00,19:00,10:00,19:00,,,,0319559115,분위기 있게 책도 읽을 수 있고 신선한 과일주스도 마실 수 있음,"주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO22N000000075,셀라북카페,북카페,북카페,17855,경기 평택시 비전9길 22-1 1층,37.00318089,127.109454,8:30,19:00,9:00,19:00,11:40,14:00,,,월요일 휴무,050713374444,"반려동물 동반가능, 소통을 위한 쉼의 공간, 아이들을 위한 동화책","주차 : 가능, 카페 : 있음"
KCCBSPO22N000000076,쉴북만화카페,북카페,만화책,12968,경기 하남시 신평로 61,37.53922285,127.2052525,12:00,24:00:00,12:00,24:00:00,12:00,24:00:00,,,,050714000768,"만화책과 향이 좋은 커피를 함께 즐길 수 있음, 편안한 토굴방과 푹힌한 쇼파석 준비",카페 : 있음
KCCBSPO22N000000077,심심푸리북만화카페,북카페,만화책,18611,경기 화성시 향남읍 상신하길로298번길 11 gbnt빌딩 스마트병원 7층,37.11472407,126.9110484,10:00,24:00:00,10:00,2:00,10:00,24:00:00,10:00,"24:00 (일요일~목요일), 02:00  (금요일~토요일)",금요일 10:00-02:00,050714087111,"만화카페, 넓은 공간, 깔끔한 인테리어, 데이트하기 좋은장소","화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO22N000000078,놀숲 고양삼송점,만화방,만화책,10571,경기도 고양시 덕양구 권율대로 894 3층,37.66323094,126.8903854,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,,023811204,"일상에 즐거운 경험을 더하는 문화공간 카툰앤북카페, 편안한 좌석에서 맛있는 음식과 함께 책도 볼 수 있는 멀티 엔터테인먼트","화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO22N000000079,놀숲 도래울점,만화방,만화책,10551,경기도 고양시 덕양구 도래울로 110 405호,37.63491758,126.8724814,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,,0318181035,"일상에 즐거운 경험을 더하는 문화공간 카툰앤북카페, 편안한 좌석에서 맛있는 음식과 함께 책도 볼 수 있는 멀티 엔터테인먼트",카페 : 있음
KCCBSPO22N000000080,이야기마을,독립서점,일반,10298,경기도 고양시 덕양구 원당로113번길 48-7,37.66347899,126.8359472,10:00,21:00,10:00,21:00,10:00,21:00,,,수요일,0319659990,"다양한 도서, 고양이, 음료","카페 : 있음, 독립출판물 : 있음"
KCCBSPO22N000000081,플라뇌즈,독립서점,일반,10460,경기도 고양시 덕양구 원당로59번길 49-24 203호,37.65862231,126.8312139,,,,,,,,,,01042571045,"국내외도서, 독립출판물 등 동네책방","카페 : 있음, 독립출판물 : 있음, 독서모임 : 가능"
KCCBSPO22N000000082,놀숲 항공대점,만화방,만화책,10540,경기도 고양시 덕양구 중앙로 201 2층,37.60481593,126.8677417,11:00,22:00,14:00,22:00,14:00,22:00,,,월요일 휴무,07043341600,"일상에 즐거운 경험을 더하는 문화공간 카툰앤북카페, 편안한 좌석에서 맛있는 음식과 함께 책도 볼 수 있는 멀티 엔터테인먼트","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO22N000000083,놀숲 일산화정점,만화방,만화책,10503,경기도 고양시 덕양구 중앙로 628 예일프라자층건물 4층 402호,37.62753475,126.8289115,10:30,24:00:00,9:30,1:00,9:30,1:00,,,,0319790005,"일상에 즐거운 경험을 더하는 문화공간 카툰앤북카페, 편안한 좌석에서 맛있는 음식과 함께 책도 볼 수 있는 멀티 엔터테인먼트","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO22N000000084,미스터버티고책방,일반서점,문학,10450,경기도 고양시 일산동구 강송로 33,37.64150962,126.7913055,11:00,22:00,11:00,22:00,11:00,22:00,,,,0318496605,커피도 팔고 생맥주도 팔고 책도 파느 문학 전문 작은 책방 겸 카페,"주차 : 가능, 카페 : 있음"
KCCBSPO22N000000085,라비브북스,일반서점,북카페,10359,경기도 고양시 일산동구 무궁화로141번길 16-7,37.67045004,126.7770124,11:00,19:00,11:00,19:00,,,,,일요일,07088790908,"커피가 있는 작은 동네서점 - 책, 커피, 빈티지컵",카페 : 있음
KCCBSPO22N000000086,커피테라피인문학북카페,북카페,북카페,10420,경기도 고양시 일산동구 백석로71번길 46,37.64847583,126.7842204,,,,,,,,,,,독서활동장소,카페 : 있음
KCCBSPO22N000000087,북앤드,일반서점,북카페,10306,경기도 고양시 일산동구 숲속마을로 50-38 202호,37.66794709,126.7987213,9:30,20:00,9:30,20:00,9:30,20:00,,,,0319032940,"책, 커피, 독서","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 가능, 공간대여 : 가능, 북토크 : 가능, 독서모임 : 가능, 강연 : 가능"
